,num_subscriptions,num_subscriptions_annual,num_subscriptions_monthly,res_subscriptions_length,res_subscriptions_length_ann,res_subscriptions_length_mon,num_ccl_mon,num_ccl_ann,num_rnl_a2a,num_rnl_a2m,num_rnl_m2a,num_rnl_m2m,num_rtn_a2a,num_rtn_a2m,num_rtn_m2a,num_rtn_m2m,num_new_mon,num_new_ann
2016-01-01,,,,,,,,,,,,,,,,,2.0,1.0
2016-01-02,,,,,,,,,,,,,,,,,1.0,0.0
2016-01-03,,,,,,,,,,,,,,,,,0.0,1.0
2016-01-04,,,,,,,,,,,,,,,,,3.0,0.0
2016-01-05,,,,,,,,,,,,,,,,,1.0,3.0
2016-01-06,,,,,,,,,,,,,,,,,0.0,2.0
2016-01-07,,,,,,,,,,,,,,,,,2.0,4.0
2016-01-08,,,,,,,,,,,,,,,,,1.0,1.0
2016-01-09,,,,,,,,,,,,,,,,,2.0,0.0
2016-01-10,,,,,,,,,,,,,,,,,5.0,0.0
2016-01-11,,,,,,,,,,,,,,,,,3.0,3.0
2016-01-12,,,,,,,,,,,,,,,,,1.0,0.0
2016-01-13,,,,,,,,,,,,,,,,,2.0,0.0
2016-01-14,,,,,,,,,,,,,,,,,0.0,2.0
2016-01-15,,,,,,,,,,,,,,,,,1.0,1.0
2016-01-16,,,,,,,,,,,,,,,,,1.0,2.0
2016-01-17,,,,,,,,,,,,,,,,,1.0,1.0
2016-01-18,,,,,,,,,,,,,,,,,1.0,3.0
2016-01-19,,,,,,,,,,,,,,,,,1.0,3.0
2016-01-20,,,,,,,,,,,,,,,,,1.0,2.0
2016-01-21,,,,,,,,,,,,,,,,,3.0,3.0
2016-01-22,,,,,,,,,,,,,,,,,3.0,4.0
2016-01-23,,,,,,,,,,,,,,,,,7.0,1.0
2016-01-24,,,,,,,,,,,,,,,,,5.0,0.0
2016-01-25,,,,,,,,,,,,,,,,,2.0,0.0
2016-01-26,,,,,,,,,,,,,,,,,1.0,3.0
2016-01-27,,,,,,,,,,,,,,,,,3.0,1.0
2016-01-28,,,,,,,,,,,,,,,,,1.0,1.0
2016-01-29,,,,,,,,,,,,,,,,,3.0,1.0
2016-01-30,,,,,,,,,,,,,,,,,0.0,2.0
2016-01-31,,,,,,,,,,,,,,,,,6.0,2.0
2016-02-01,,,65.0,,,18.50769230769231,1.0,,,,0.0,1.0,,,0.0,0.0,1.0,4.0
2016-02-02,,,65.0,,,18.43076923076923,0.0,,,,0.0,1.0,,,0.0,0.0,1.0,3.0
2016-02-03,,,65.0,,,17.892307692307693,0.0,,,,0.0,0.0,,,0.0,0.0,1.0,4.0
2016-02-04,,,72.0,,,18.166666666666668,1.0,,,,0.0,2.0,,,0.0,0.0,5.0,1.0
2016-02-05,,,70.0,,,18.085714285714285,1.0,,,,0.0,0.0,,,0.0,0.0,1.0,1.0
2016-02-06,,,69.0,,,17.333333333333332,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,1.0
2016-02-07,,,71.0,,,16.718309859154928,1.0,,,,0.0,1.0,,,0.0,0.0,1.0,0.0
2016-02-08,,,74.0,,,17.10810810810811,0.0,,,,0.0,1.0,,,0.0,0.0,4.0,1.0
2016-02-09,,,76.0,,,16.86842105263158,0.0,,,,0.0,2.0,,,0.0,0.0,1.0,2.0
2016-02-10,,,81.0,,,17.358024691358025,0.0,,,,1.0,5.0,,,0.0,0.0,2.0,0.0
2016-02-11,,,77.0,,,17.5974025974026,2.0,,,,0.0,1.0,,,0.0,0.0,0.0,2.0
